account_id,total_wins,total_matches,trueskill_mu,trueskill_sigma
236579,14,24,27.86803544887669,5.212360755154124
-343,1,1,26.54416264494717,8.06547547571326
-1217,1,1,26.521102844769825,8.114989027066821
-1227,1,1,27.248024958648585,8.092216692198111
-1284,0,1,22.931015779479623,8.092224309040315
308663,1,1,26.761475988284694,8.108879563800533
79749,21,40,30.55341692111649,3.8687344175280614
-1985,0,1,23.263409234993325,8.098020435825411
-2160,8,12,27.4260179194793,6.391300186726303
26500,26,50,27.94362077676565,4.0490045303341855
-2776,0,1,23.053521554831327,8.1109113767047
137046,46,89,26.02599787812959,2.865184074214484
56881,15,23,32.85642396786685,5.132468772471912
-3110,1,2,25.491041376532355,7.846784862628624
-3126,0,1,23.28169402641756,8.11925868487977
221202,6,12,22.75076350501192,6.198528539862464
-3161,0,3,20.483374255793766,7.757888786330731
-3194,0,1,22.89152055167358,8.100930344663169
221204,3,8,21.293206583904983,6.560565350911063